"AirportID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","TzDB","Type","Source"
11753,"Amos/Magny Airport","Amos","Canada","YEY","CYEY",48.563903,-78.249702,1068,"\N","\N","\N","airport","OurAirports"
11755,"Hope Airport","Hope","Canada","YHE","CYHE",49.3683013916,-121.498001099,128,"\N","\N","\N","airport","OurAirports"
11756,"Haines Junction Airport","Haines Junction","Canada","YHT","CYHT",60.7891998291016,-137.546005249023,2150,"\N","\N","\N","airport","OurAirports"
11757,"Digby / Annapolis Regional Airport","Digby","Canada","YDG","CYID",44.5458450365,-65.7854247093,499,"\N","\N","\N","airport","OurAirports"
11758,"Fort Liard Airport","Fort Liard","Canada","YJF","CYJF",60.2358016968,-123.46900177,708,"\N","\N","\N","airport","OurAirports"
11759,"Key Lake Airport","Key Lake","Canada","YKJ","CYKJ",57.2560997009277,-105.61799621582,1679,"\N","\N","\N","airport","OurAirports"
11760,"Leaf Rapids Airport","Leaf Rapids","Canada","YLR","CYLR",56.5133018493652,-99.9852981567383,959,"\N","\N","\N","airport","OurAirports"
11761,"Matane Airport","Matane","Canada","YME","CYME",48.8568992614746,-67.4533004760742,102,"\N","\N","\N","airport","OurAirports"
11762,"Charlevoix Airport","Charlevoix","Canada","YML","CYML",47.5974998474121,-70.2238998413086,977,"\N","\N","\N","airport","OurAirports"
11764,"Owen Sound / Billy Bishop Regional Airport","Owen Sound","Canada","YOS","CYOS",44.5903015137,-80.8375015259,1007,"\N","\N","\N","airport","OurAirports"
11765,"Port Hawkesbury Airport","Port Hawkesbury","Canada","YPS","CYPD",45.6567001343,-61.3680992126,377,"\N","\N","\N","airport","OurAirports"
11766,"St Thomas Municipal Airport","St Thomas","Canada","YQS","CYQS",42.7700004577637,-81.1108016967773,778,"\N","\N","\N","airport","OurAirports"
11767,"Ottawa / Rockcliffe Airport","Ottawa","Canada","YRO","CYRO",45.4603004456,-75.6461029053,188,"\N","\N","\N","airport","OurAirports"
11769,"Smiths Falls-Montague (Russ Beach) Airport","Smiths Falls","Canada","YSH","CYSH",44.94580078125,-75.9405975341797,416,"\N","\N","\N","airport","OurAirports"
11770,"St Leonard Airport","St Leonard","Canada","YSL","CYSL",47.1575012207031,-67.8347015380859,793,"\N","\N","\N","airport","OurAirports"
11772,"Vernon Airport","Vernon","Canada","YVE","CYVK",50.2481002807617,-119.331001281738,1140,"\N","\N","\N","airport","OurAirports"
11773,"Beaver Creek Airport","Beaver Creek","Canada","YXQ","CYXQ",62.4103012084961,-140.867004394531,2131,"\N","\N","\N","airport","OurAirports"
11774,"Shuswap Regional Airport","Salmon Arm","Canada","YSN","CZAM",50.682802,-119.228996,1751,"\N","\N","\N","airport","OurAirports"
11775,"Kelsey Airport","Kelsey","Canada","KES","CZEE",56.0374984741,-96.5096969604,600,"\N","\N","\N","airport","OurAirports"
11776,"Pukatawagan Airport","Pukatawagan","Canada","XPK","CZFG",55.7491989136,-101.26599884,958,"\N","\N","\N","airport","OurAirports"
11777,"Grand Forks Airport","Grand Forks","Canada","ZGF","CZGF",49.0155982971191,-118.430999755859,1720,"\N","\N","\N","airport","OurAirports"
11778,"Jenpeg Airport","Jenpeg","Canada","ZJG","CZJG",54.5189018249512,-98.0460968017578,729,"\N","\N","\N","airport","OurAirports"
11779,"Thicket Portage Airport","Thicket Portage","Canada","YTD","CZLQ",55.3189010620117,-97.7078018188477,678,"\N","\N","\N","airport","OurAirports"
11780,"Pikwitonei Airport","Pikwitonei","Canada","PIW","CZMN",55.5889015197754,-97.1641998291016,630,"\N","\N","\N","airport","OurAirports"
11781,"Poplar River Airport","Poplar River","Canada","XPP","CZNG",52.9965258788,-97.2741937637,728,"\N","\N","\N","airport","OurAirports"
11782,"Pincher Creek Airport","Pincher Creek","Canada","WPC","CZPC",49.5205993652,-113.997001648,3903,"\N","\N","\N","airport","OurAirports"
11783,"Stewart Airport","Stewart","Canada","ZST","CZST",55.935410448,-129.982434511,24,"\N","\N","\N","airport","OurAirports"
11784,"Ignace Municipal Airport","Ignace","Canada","ZUC","CZUC",49.4296989440918,-91.7177963256836,1435,"\N","\N","\N","airport","OurAirports"
13342,"Doris Lake","Doris Lake","Canada","JOJ","CDL7",68.1252746582,-106.585281372,50,"-7","A","\N","airport","OurAirports"
13711,"Lutselk'e Airport","Lutselk'e","Canada","YSG","CYLK",62.418303,-110.681998,596,"\N","\N","\N","airport","OurAirports"
